 Abstruse | Adjective | Заумный, трудный для понимания | C2
Iconoclast | Noun | Иконоборец | C2
Idiosyncratic | Adjective | Своеобразный | C2
Ignominious | Adjective | Позорный | C2
Impecunious | Adjective | Безденежный | C2
Imperturbable | Adjective | Невозмутимый | C2
Impervious | Adjective | Непроницаемый | C2
Impetuous | Adjective | Импульсивный | C2
Impugn | Verb | Оспаривать | C2
Inane | Adjective | Глупый | C2
Inchoate | Adjective | Несформированный | C2
Incontrovertible | Adjective | Неопровержимый | C2
Incorrigible | Adjective | Неисправимый | C2
Incredulous | Adjective | Недоверчивый | C2
Inculcate | Verb | Внушать | C2
Indefatigable | Adjective | Неутомимый | C2
Indolent | Adjective | Ленивый | C2
Ineffable | Adjective | Невыразимый | C2
Inexorable | Adjective | Неумолимый | C2
Ingenuous | Adjective | Простодушный | C2
Inimical | Adjective | Враждебный | C2
Iniquity | Noun | Беззаконие | C2
Innocuous | Adjective | Безобидный | C2
Insidious | Adjective | Коварный | C2
Insipid | Adjective | Безвкусный | C2
Intransigent | Adjective | Непримиримый | C2
Inure | Verb | Приучать | C2
Invective | Noun | Оскорбление | C2
Inveigh | Verb | Нападать | C2
Inveterate | Adjective | Застарелый | C2
Irascible | Adjective | Вспыльчивый | C2
Itinerant | Adjective | Странствующий | C2
Jejune | Adjective | Неинтересный | C2
Jettison | Verb | Выбрасывать | C2
Jingoism | Noun | Шовинизм | C2
Jocular | Adjective | Шутливый | C2
Juggernaut | Noun | Непобедимая сила | C2
Juncture | Noun | Момент | C2
Knell | Noun | Набат | C2
Kowtow | Verb | Раболепствовать | C2
Laconic | Adjective | Лаконичный | C2
Languid | Adjective | Вялый | C2
Largesse | Noun | Щедрость | C2
Lassitude | Noun | Усталость | C2
Legerdemain | Noun | Ловкость рук | C2
Licentious | Adjective | Распущенный | C2
Limpid | Adjective | Прозрачный | C2
Lionize | Verb | Прославлять | C2
Lissome | Adjective | Гибкий | C2
Lugubrious | Adjective | Траурный | C2
Machination | Noun | Интрига | C2
Maelstrom | Noun | Водоворот | C2
Magnanimous | Adjective | Великодушный | C2
Malaise | Noun | Недомогание | C2
Malinger | Verb | Симулировать | C2
Maverick | Noun | Индивидуалист | C2
Mellifluous | Adjective | Мелодичный | C2
Mendacious | Adjective | Лживый | C2
Mercurial | Adjective | Изменчивый | C2
Mettlesome | Adjective | Отважный | C2
Misanthropy | Noun | Мизантропия | C2
Miscreant | Noun | Злодей | C2
Mollify | Verb | Смягчать | C2
Morass | Noun | Трясина | C2
Mordant | Adjective | Едкий | C2
Munificent | Adjective | Щедрый | C2
Myriad | Noun | Бесчисленное множество | C2
Nadir | Noun | Надир | C2
Nebulous | Adjective | Туманный | C2
Neologism | Noun | Неологизм | C2
Nepotism | Noun | Кумовство | C2
Nexus | Noun | Связь | C2
Noisome | Adjective | Вредный | C2
Nonplussed | Adjective | Озадаченный | C2
Nugatory | Adjective | Ничтожный | C2
Obeisance | Noun | Поклон | C2
Obfuscate | Verb | Затемнять | C2
Oblique | Adjective | Косвенный | C2
Obsequious | Adjective | Угодливый | C2
Obstreperous | Adjective | Шумный | C2
Obtuse | Adjective | Тупой | C2
Officious | Adjective | Навязчивый | C2
Onerous | Adjective | Обременительный | C2
Ostensible | Adjective | Мнимый | C2
Ostentatious | Adjective | Показной | C2
Overweening | Adjective | Самонадеянный | C2
Paean | Noun | Хвалебная песнь | C2
Palatable | Adjective | Приемлемый | C2
Palliate | Verb | Смягчать | C2
Panacea | Noun | Панацея | C2
Paragon | Noun | Образец | C2
Pariah | Noun | Изгой | C2
Parsimonious | Adjective | Скупой | C2
Peccadillo | Noun | Небольшой проступок | C2
Pedantic | Adjective | Педантичный | C2
Pejorative | Adjective | Уничижительный | C2
Penchant | Noun | Склонность | C2
Penurious | Adjective | Нищий | C2
Peremptory | Adjective | Безапелляционный | C2
Perfidious | Adjective | Вероломный | C2
Perfunctory | Adjective | Поверхностный | C2
Perspicacious | Adjective | Проницательный | C2
Pertinacious | Adjective | Упорный | C2
Phlegmatic | Adjective | Флегматичный | C2
Piquant | Adjective | Пикантный | C2
Placate | Verb | Умиротворять | C2
Platitude | Noun | Банальность | C2
Plethora | Noun | Избыток | C2
Plucky | Adjective | Смелый | C2
Polemical | Adjective | Полемический | C2
Portentous | Adjective | Зловещий | C2
Precarious | Adjective | Ненадёжный | C2
Precipitate | Verb | Ускорять | C2
Precocious | Adjective | Рано развившийся | C2
Predilection | Noun | Предрасположенность | C2
Prescient | Adjective | Предвидящий | C2
Prevaricate | Verb | Увиливать | C2
Probity | Noun | Честность | C2
Proclivity | Noun | Склонность | C2
Profligate | Adjective | Распутный | C2
Propitious | Adjective | Благоприятный | C2
Prosaic | Adjective | Прозаичный | C2
Protean | Adjective | Изменчивый | C2
Puerile | Adjective | Детский | C2
Pugnacious | Adjective | Агрессивный | C2
Pulchritude | Noun | Красота | C2
Punctilious | Adjective | Педантичный | C2
Quagmire | Noun | Трясина | C2
Querulous | Adjective | Ворчливый | C2
Quixotic | Adjective | Донкихотский | C2
Raconteur | Noun | Рассказчик | C2
Rancorous | Adjective | Злобный | C2
Rapacious | Adjective | Жадный | C2
Recalcitrant | Adjective | Упрямый | C2
Recidivism | Noun | Рецидив | C2
Recondite | Adjective | Тёмный | C2
Redoubtable | Adjective | Грозный | C2
Refractory | Adjective | Упрямый | C2
Relegate | Verb | Отсылать | C2
Remonstrate | Verb | Протестовать | C2
Reprobate | Noun | Негодяй | C2
Repudiate | Verb | Отвергать | C2
Rescind | Verb | Отменять | C2
Ribald | Adjective | Непристойный | C2
Rife | Adjective | Распространённый | C2
Risible | Adjective | Смехотворный | C2
Rococo | Adjective | Вычурный | C2
Sagacious | Adjective | Мудрый | C2
Salubrious | Adjective | Здоровый | C2
Sanctimonious | Adjective | Лицемерный | C2
Sanguine | Adjective | Оптимистичный | C2
Sartorial | Adjective | Портняжный | C2
Saturnine | Adjective | Угрюмый | C2
Schadenfreude | Noun | Злорадство | C2
Scintilla | Noun | Искра | C2
Scurrilous | Adjective | Оскорбительный | C2
Sedulous | Adjective | Усердный | C2
Seminal | Adjective | Основополагающий | C2
Serendipity | Noun | Удачная случайность | C2
Simulacrum | Noun | Подобие | C2
Sinecure | Noun | Синекура | C2
Solicitous | Adjective | Заботливый | C2
Soporific | Adjective | Снотворный | C2
Splenetic | Adjective | Раздражительный | C2
Spurious | Adjective | Ложный | C2
Stentorian | Adjective | Громогласный | C2
Stolid | Adjective | Флегматичный | C2
Striated | Adjective | Полосатый | C2
Stultify | Verb | Ошеломлять | C2
Stygian | Adjective | Мрачный | C2
Subterfuge | Noun | Уловка | C2
Supercilious | Adjective | Надменный | C2
Surfeit | Noun | Избыток | C2
Surreptitious | Adjective | Тайный | C2
Sycophant | Noun | Подхалим | C2
Taciturn | Adjective | Молчаливый | C2
Tantamount | Adjective | Равнозначный | C2
Temerarious | Adjective | Безрассудный | C2
Tenuous | Adjective | Слабый | C2
Timorous | Adjective | Боязливый | C2
Tirade | Noun | Гневная речь | C2
Toady | Noun | Подхалим | C2
Tortuous | Adjective | Извилистый | C2
Tractable | Adjective | Покорный | C2
Transient | Adjective | Преходящий | C2
Trenchant | Adjective | Резкий | C2
Truculent | Adjective | Агрессивный | C2
Turgid | Adjective | Напыщенный | C2
Turpitude | Noun | Порочность | C2
Ubiquitous | Adjective | Вездесущий | C2
Umbrage | Noun | Обида | C2
Unconscionable | Adjective | Бессовестный | C2
Unctuous | Adjective | Слащавый | C2
Undulate | Verb | Волноваться | C2
Untoward | Adjective | Неуместный | C2
Upbraid | Verb | Упрекать | C2
Ursine | Adjective | Медвежий | C2
Vacillate | Verb | Колебаться | C2
Variegated | Adjective | Разноцветный | C2
Venerate | Verb | Почитать | C2
Veracious | Adjective | Правдивый | C2
Verbose | Adjective | Многословный | C2
Verdant | Adjective | Зелёный | C2
Vestigial | Adjective | Рудиментарный | C2
Vexatious | Adjective | Досадный | C2
Vicissitude | Noun | Изменение | C2
Vilify | Verb | Порочить | C2
Vitiate | Verb | Портить | C2
Vitriolic | Adjective | Едкий | C2
Vituperate | Verb | Бранить | C2
Vociferous | Adjective | Шумный | C2
Waggish | Adjective | Шутливый | C2
Wan | Adjective | Бледный | C2
Wheedle | Verb | Уговаривать | C2
Winsome | Adjective | Очаровательный | C2
Wizened | Adjective | Сморщенный | C2
Xenophobia | Noun | Ксенофобия | C2
Yoke | Verb | Связывать | C2
Zealous | Adjective | Ревностный | C2
Zenith | Noun | Зенит | C2 
