Ability | Noun | Способность | B1  
Explode | Verb | Взрываться | B1  
Express | Verb | Выражать | B1  
Extend | Verb | Продлевать | B1  
Extra | Adjective | Дополнительный | B1  
Extreme | Adjective | Экстремальный | B1  
Fail | Verb | Проваливаться | B1  
Fair | Adjective | Справедливый | B1  
Faith | Noun | Вера | B1  
Familiar | Adjective | Знакомый | B1  
Famous | Adjective | Известный | B1  
Fancy | Adjective | Причудливый | B1  
Far | Adjective | Далекий | B1  
Fasten | Verb | Пристёгивать | B1  
Fault | Noun | Ошибка | B1  
Fear | Noun | Страх | B1  
Feature | Noun | Особенность | B1  
Feed | Verb | Кормить | B1  
Feel | Verb | Чувствовать | B1  
Fiction | Noun | Фантастика | B1  
Figure | Noun | Фигура | B1  
File | Noun | Файл | B1  
Fill | Verb | Заполнять | B1  
Final | Adjective | Финальный | B1  
Finance | Noun | Финансы | B1  
Fit | Verb | Подходить | B1  
Fix | Verb | Чинить | B1  
Flame | Noun | Пламя | B1  
Flexible | Adjective | Гибкий | B1  
Float | Verb | Плавать | B1  
Flow | Verb | Течь | B1  
Focus | Verb | Фокусироваться | B1  
Fold | Verb | Складывать | B1  
Follow | Verb | Следовать | B1  
Force | Noun | Сила | B1  
Foreign | Adjective | Иностранный | B1  
Forget | Verb | Забывать | B1  
Forgive | Verb | Прощать | B1  
Form | Noun | Форма | B1  
Former | Adjective | Бывший | B1  
Fortunate | Adjective | Удачливый | B1  
Forward | Ad Verb | Вперёд | B1  
Frame | Noun | Рамка | B1  
Freedom | Noun | Свобода | B1  
Freeze | Verb | Замораживать | B1  
Frequent | Adjective | Частый | B1  
Fresh | Adjective | Свежий | B1  
Friend | Noun | Друг | B1  
Frighten | Verb | Пугать | B1  
Front | Noun | Перед | B1  
Fruit | Noun | Фрукт | B1  
Fuel | Noun | Топливо | B1  
Function | Noun | Функция | B1  
Fund | Noun | Фонд | B1  
Funny | Adjective | Смешной | B1  
Future | Noun | Будущее | B1  
Gain | Verb | Получать | B1  
Gap | Noun | Пробел | B1  
Gather | Verb | Собирать | B1  
General | Adjective | Общий | B1  
Generate | Verb | Генерировать | B1  
Gentle | Adjective | Мягкий | B1  
Genuine | Adjective | Настоящий | B1  
Gesture | Noun | Жест | B1  
Gift | Noun | Подарок | B1  
Glance | Verb | Взглянуть | B1  
Global | Adjective | Глобальный | B1  
Goal | Noun | Цель | B1  
Good | Adjective | Хороший | B1  
Govern | Verb | Управлять | B1  
Grace | Noun | Грация | B1  
Gradual | Adjective | Постепенный | B1  
Grain | Noun | Зерно | B1  
Grant | Verb | Дарить | B1  
Grasp | Verb | Схватывать | B1  
Grateful | Adjective | Благодарный | B1  
Greedy | Adjective | Жадный | B1  
Greet | Verb | Приветствовать | B1  
Grief | Noun | Горе | B1  
Grind | Verb | Молоть | B1  
Grip | Verb | Сжимать | B1  
Gross | Adjective | Валовой | B1  
Ground | Noun | Земля | B1  
Grow | Verb | Расти | B1  
Guarantee | Noun | Гарантия | B1  
Guard | Verb | Охранять | B1  
Guess | Verb | Догадываться | B1  
Guide | Noun | Гид | B1  
Guilty | Adjective | Виновный | B1  
Habit | Noun | Привычка | B1  
Hair | Noun | Волосы | B1  
Halt | Verb | Останавливать | B1  
Handle | Verb | Обращаться | B1  
Hang | Verb | Вешать | B1  
Happen | Verb | Происходить | B1  
Happy | Adjective | Счастливый | B1  
Hard | Adjective | Твёрдый | B1  
Harm | Noun | Вред | B1  
Harsh | Adjective | Суровый | B1  
Harvest | Noun | Урожай | B1  
Haste | Noun | Спешка | B1  
Hate | Verb | Ненавидеть | B1  
Haunt | Verb | Преследовать | B1  
Hazard | Noun | Опасность | B1  
Head | Noun | Голова | B1  
Heal | Verb | Лечить | B1  
Heap | Noun | Куча | B1  
Hear | Verb | Слышать | B1  
Heat | Noun | Жара | B1  
Heavy | Adjective | Тяжёлый | B1  
Height | Noun | Высота | B1  
Help | Verb | Помогать | B1  
Hide | Verb | Прятать | B1  
High | Adjective | Высокий | B1  
Hire | Verb | Нанимать | B1  
Hit | Verb | Ударять | B1  
Hold | Verb | Держать | B1  
Hole | Noun | Дыра | B1  
Honest | Adjective | Честный | B1  
Honor | Noun | Честь | B1  
Hope | Verb | Надеяться | B1  
Horror | Noun | Ужас | B1  
Host | Noun | Хозяин | B1  
Hot | Adjective | Горячий | B1  
Huge | Adjective | Огромный | B1  
Human | Noun | Человек | B1  
Humble | Adjective | Скромный | B1  
Humor | Noun | Юмор | B1  
Hunger | Noun | Голод | B1  
Hunt | Verb | Охотиться | B1  
Hurry | Verb | Торопиться | B1  
Hurt | Verb | Болеть | B1  
Idea | Noun | Идея | B1  
Identify | Verb | Идентифицировать | B1  
Ignore | Verb | Игнорировать | B1  
Ill | Adjective | Больной | B1  
Image | Noun | Изображение | B1  
Imagine | Verb | Воображать | B1  
Impact | Noun | Влияние | B1  
Implement | Verb | Внедрять | B1  
Imply | Verb | Подразумевать | B1  
Import | Verb | Импортировать | B1  
Important | Adjective | Важный | B1  
Impress | Verb | Впечатлять | B1  
Improve | Verb | Улучшать | B1  
Include | Verb | Включать | B1  
Income | Noun | Доход | B1  
Increase | Verb | Увеличивать | B1  
Independent | Adjective | Независимый | B1  
Indicate | Verb | Указывать | B1  
Individual | Noun | Индивидуум | B1  
Industry | Noun | Промышленность | B1  
Influence | Noun | Влияние | B1  
Inform | Verb | Информировать | B1  
Initial | Adjective | Начальный | B1  
Injure | Verb | Травмировать | B1  
Innocent | Adjective | Невинный | B1  
Inquire | Verb | Спрашивать | B1  
Insect | Noun | Насекомое | B1  
Insert | Verb | Вставлять | B1  
Inside | Noun | Внутренность | B1  
Insist | Verb | Настаивать | B1  
Inspect | Verb | Проверять | B1  
Inspire | Verb | Вдохновлять | B1  
Install | Verb | Устанавливать | B1  
Instance | Noun | Пример | B1  
Instead | Ad Verb | Вместо | B1  
Instruct | Verb | Инструктировать | B1  
Insurance | Noun | Страховка | B1  
Intend | Verb | Намереваться | B1  
Interest | Noun | Интерес | B1  
Interfere | Verb | Вмешиваться | B1  
Internal | Adjective | Внутренний | B1  
Interpret | Verb | Интерпретировать | B1  
Interrupt | Verb | Прерывать | B1  
Introduce | Verb | Представлять | B1  
Invent | Verb | Изобретать | B1  
Invest | Verb | Инвестировать | B1  
Investigate | Verb | Исследовать | B1  
Invite | Verb | Приглашать | B1  
Involve | Verb | Вовлекать | B1  
Iron | Noun | Железо | B1  
Island | Noun | Остров | B1  
Issue | Noun | Проблема | B1  
Item | Noun | Предмет | B1  
Jacket | Noun | Куртка | B1  
Jail | Noun | Тюрьма | B1  
Jam | Noun | Варенье | B1  
Jealous | Adjective | Ревнивый | B1  
Join | Verb | Присоединяться | B1  
Joint | Adjective | Совместный | B1  
Joke | Noun | Шутка | B1  
Judge | Verb | Судить | B1  
Jump | Verb | Прыгать | B1  
Justice | Noun | Справедливость | B1  
Keep | Verb | Хранить | B1  
Key | Noun | Ключ | B1  
Kick | Verb | Пинать | B1  
Kid | Noun | Ребёнок | B1  
Kill | Verb | Убивать | B1  
Kind | Adjective | Добрый | B1  
King | Noun | Король | B1  
Kiss | Verb | Целовать | B1  
Knee | Noun | Колено | B1  
Knife | Noun | Нож | B1  
Knock | Verb | Стучать | B1  
Know | Verb | Знать | B1  
Knowledge | Noun | Знание | B1  
Label | Noun | Этикетка | B1  
Labor | Noun | Труд | B1  
Lack | Noun | Недостаток | B1  
Ladder | Noun | Лестница | B1  
Lady | Noun | Леди | B1  
Lake | Noun | Озеро | B1  
Lamp | Noun | Лампа | B1  
Land | Noun | Земля | B1  
Language | Noun | Язык | B1  
Large | Adjective | Большой | B1  
Last | Adjective | Последний | B1  
Late | Adjective | Поздний | B1  
Laugh | Verb | Смеяться | B1  
Law | Noun | Закон | B1  
Lay | Verb | Класть | B1  
Lazy | Adjective | Ленивый | B1  
Lead | Verb | Вести | B1  
Leaf | Noun | Лист | B1  
Lean | Verb | Наклоняться | B1  
Learn | Verb | Учить | B1  
Leave | Verb | Оставлять | B1  
Lecture | Noun | Лекция | B1  
Left | Adjective | Левый | B1  
Leg | Noun | Нога | B1  
Legal | Adjective | Законный | B1  
Lend | Verb | Давать взаймы | B1  
Length | Noun | Длина | B1  
Less | Adjective | Меньше | B1  
Let | Verb | Позволять | B1  
Letter | Noun | Письмо | B1  
Level | Noun | Уровень | B1  
Lie | Verb | Лгать | B1  
Life | Noun | Жизнь | B1  
Lift | Verb | Поднимать | B1  
Light | Noun | Свет | B1  
Like | Verb | Нравиться | B1  
Limit | Noun | Предел | B1  
Line | Noun | Линия | B1  
Link | Noun | Ссылка | B1  
Abandon | Verb | оставлять, покидать | B2  
Absurd | Adjective | абсурдный | B2  
Accomplish | Verb | выполнять, достигать | B2  
Accurate | Adjective | точный | B2  
Acknowledge | Verb | признавать | B2  
Acquire | Verb | приобретать | B2  
Adapt | Verb | адаптироваться | B2  
Adequate | Adjective | адекватный | B2  
Adjectiveust | Verb | регулировать, приспосабливать | B2  
Admire | Verb | восхищаться | B2  
Admit | Verb | признавать, допускать | B2  
Adopt | Verb | принимать (решение), усыновлять | B2  
Advance | Verb / Noun | продвигаться / прогресс | B2  
Aggressive | Adjective | агрессивный | B2  
Alert | Adjective | бдительный | B2  
Allege | Verb | утверждать (без доказательств) | B2  
Allocate | Verb | выделять (ресурсы) | B2  
Ambitious | Adjective | амбициозный | B2  
Amuse | Verb | развлекать | B2  
Analyze | Verb | анализировать | B2  
Annoy | Verb | раздражать | B2  
Anticipate | Verb | предвидеть | B2  
Anxious | Adjective | тревожный | B2  
Appeal | Verb / Noun | обращаться / привлекательность | B2  
Appreciate | Verb | ценить | B2  
Approach | Verb / Noun | приближаться / подход | B2  
Approve | Verb | одобрять | B2  
Argue | Verb | спорить | B2  
Arouse | Verb | пробуждать (чувства) | B2  
Assess | Verb | оценивать | B2  
Assign | Verb | назначать | B2  
Assume | Verb | предполагать | B2  
Assure | Verb | уверять | B2  
Attach | Verb | прикреплять | B2  
Attain | Verb | достигать | B2  
Attempt | Verb / Noun | пытаться / попытка | B2  
Attract | Verb | привлекать | B2  
Avoid | Verb | избегать | B2  
Aware | Adjective | осведомленный | B2  
Baffle | Verb | озадачивать | B2  
Bare | Adjective | голый, минимальный | B2  
Bargain | Verb / Noun | сделка / торговаться | B2  
Barrier | Noun | барьер | B2  
Behave | Verb | вести себя | B2  
Belief | Noun | убеждение | B2  
Benefit | Verb / Noun | польза / приносить пользу | B2  
Betray | Verb | предавать | B2  
Bias | Noun | предвзятость | B2  
Blame | Verb / Noun | винить / вина | B2  
Bold | Adjective | смелый | B2  
Boost | Verb / Noun | усиливать / подъем | B2  
Bother | Verb | беспокоить | B2  
Boundary | Noun | граница | B2  
Bribe | Verb / Noun | взятка / подкупать | B2  
Brief | Adjective | краткий | B2  
Broaden | Verb | расширять | B2  
Brutal | Adjective | жестокий | B2  
Burst | Verb / Noun | лопаться / взрыв | B2  
Calculate | Verb | вычислять | B2  
Cancel | Verb | отменять | B2  
Capacity | Noun | вместимость, способность | B2  
Capture | Verb | захватывать | B2  
Casual | Adjective | повседневный, неформальный | B2  
Cautious | Adjective | осторожный | B2  
Challenge | Verb / Noun | вызов / бросать вызов | B2  
Chaos | Noun | хаос | B2  
Characterize | Verb | характеризовать | B2  
Charge | Verb / Noun | заряжать / обвинение | B2  
Chase | Verb | преследовать | B2  
Cheerful | Adjective | радостный | B2  
Circumstance | Noun | обстоятельство | B2  
Claim | Verb / Noun | утверждать / заявление | B2  
Clarify | Verb | прояснять | B2  
Classify | Verb | классифицировать | B2  
Clumsy | Adjective | неуклюжий | B2  
Collapse | Verb / Noun | рушиться / крах | B2  
Collide | Verb | сталкиваться | B2  
Combine | Verb | сочетать | B2  
Comfort | Verb / Noun | комфорт / утешать | B2  
Command | Verb / Noun | командовать / команда | B2  
Commit | Verb | совершать (действие) | B2  
Communicate | Verb | общаться | B2  
Compare | Verb | сравнивать | B2  
Compel | Verb | принуждать | B2  
Compensate | Verb | компенсировать | B2  
Compete | Verb | соревноваться | B2  
Complain | Verb | жаловаться | B2  
Complex | Adjective | сложный | B2  
Complicate | Verb | усложнять | B2  
Compose | Verb | сочинять | B2  
Comprehend | Verb | понимать | B2  
Compromise | Verb / Noun | компромисс / идти на компромисс | B2  
Conceal | Verb | скрывать | B2  
Concentrate | Verb | концентрироваться | B2  
Conclude | Verb | заключать | B2  
Concrete | Adjective | конкретный | B2  
Condemn | Verb | осуждать | B2  
Conduct | Verb / Noun | проводить / поведение | B2  
Confess | Verb | признаваться | B2  
Confident | Adjective | уверенный | B2  
Confirm | Verb | подтверждать | B2  
Conflict | Noun | конфликт | B2  
Confront | Verb | сталкиваться (с проблемой) | B2  
Confuse | Verb | путать | B2  
Connect | Verb | соединять | B2  
Conquer | Verb | завоевывать | B2  
Conscious | Adjective | сознательный | B2  
Consent | Verb / Noun | согласие / соглашаться | B2  
Conserve | Verb | сохранять | B2  
Consider | Verb | рассматривать | B2  
Consist | Verb | состоять | B2  
Consume | Verb | потреблять | B2  
Contact | Verb / Noun | контакт / связываться | B2  
Contain | Verb | содержать | B2  
Contaminate | Verb | загрязнять | B2  
Contemplate | Verb | созерцать, обдумывать | B2  
Contradict | Verb | противоречить | B2  
Contribute | Verb | вносить вклад | B2  
Controversial | Adjective | спорный | B2  
Convenient | Adjective | удобный | B2  
Convince | Verb | убеждать | B2  
Cooperate | Verb | сотрудничать | B2  
Cope | Verb | справляться | B2  
Corrupt | Adjective / Verb | коррумпированный / развращать | B2  
Costly | Adjective | дорогостоящий | B2  
Counsel | Verb / Noun | совет / консультировать | B2  
Courage | Noun | смелость | B2  
Create | Verb | создавать | B2  
Credit | Verb / Noun | кредит / зачислять | B2  
Crime | Noun | преступление | B2  
Crisis | Noun | кризис | B2  
Critical | Adjective | критический | B2  
Criticize | Verb | критиковать | B2  
Crucial | Adjective | решающий | B2  
Crush | Verb | давить, раздавливать | B2  
Cultivate | Verb | культивировать | B2  
Curious | Adjective | любопытный | B2  
Current | Adjective / Noun | текущий / течение | B2  
Damage | Verb / Noun | ущерб / повреждать | B2  
Dare | Verb | осмеливаться | B2  
Debate | Verb / Noun | дебаты / обсуждать | B2  
Decay | Verb / Noun | разлагаться / распад | B2  
Deceive | Verb | обманывать | B2  
Decent | Adjective | приличный | B2  
Declare | Verb | объявлять | B2  
Decline | Verb / Noun | отказываться / спад | B2  
Decorate | Verb | украшать | B2  
Dedicate | Verb | посвящать | B2  
Defeat | Verb / Noun | побеждать / поражение | B2  
Defend | Verb | защищать | B2  
Define | Verb | определять | B2  
Delay | Verb / Noun | задерживать / задержка | B2  
Deliberate | Adjective | преднамеренный | B2  
Delicate | Adjective | деликатный | B2  
Deliver | Verb | доставлять | B2  
Demand | Verb / Noun | требовать / спрос | B2  
Demonstrate | Verb | демонстрировать | B2  
Deny | Verb | отрицать | B2  
Depend | Verb | зависеть | B2  
Depress | Verb | угнетать | B2  
Derive | Verb | получать (из источника) | B2  
Descend | Verb | спускаться | B2  
Deserve | Verb | заслуживать | B2  
Desire | Verb / Noun | желание / желать | B2  
Desperate | Adjective | отчаянный | B2  
Destroy | Verb | уничтожать | B2  
Detect | Verb | обнаруживать | B2  
Determine | Verb | определять | B2  
Develop | Verb | развивать | B2  
Devote | Verb | посвящать | B2  
Dictate | Verb | диктовать | B2  
Differ | Verb | отличаться | B2  
Digest | Verb | переваривать | B2  
Dignity | Noun | достоинство | B2  
Dilemma | Noun | дилемма | B2  
Diminish | Verb | уменьшать | B2  
Disagree | Verb | не соглашаться | B2  
Disappoint | Verb | разочаровывать | B2  
Disaster | Noun | катастрофа | B2  
Discard | Verb | выбрасывать | B2  
Discipline | Noun | дисциплина | B2  
Disclose | Verb | раскрывать | B2  
Discount | Noun | скидка | B2  
Discover | Verb | обнаруживать | B2  
Discriminate | Verb | дискриминировать | B2  
Disgust | Verb / Noun | отвращение / вызывать отвращение | B2  
Dismiss | Verb | увольнять | B2  
Disorder | Noun | беспорядок | B2  
Display | Verb / Noun | показывать / дисплей | B2  
Dispute | Verb / Noun | спор / спорить | B2  
Distinct | Adjective | отчетливый | B2  
Distract | Verb | отвлекать | B2  
Distribute | Verb | распределять | B2  
Disturb | Verb | беспокоить | B2  
Diverse | Adjective | разнообразный | B2  
Divide | Verb | делить | B2  
Dominate | Verb | доминировать | B2  
Donate | Verb | жертвовать | B2  
Doubt | Verb / Noun | сомнение / сомневаться | B2  
Draft | Verb / Noun | черновик / составлять черновик | B2  
Dramatic | Adjective | драматический | B2  
Dread | Verb / Noun | бояться / ужас | B2  
Drift | Verb | дрейфовать | B2  
Drown | Verb | тонуть | B2  
Dull | Adjective | скучный | B2  
Dump | Verb | сбрасывать | B2  
Duplicate | Verb / Noun | дублировать / копия | B2  
Dwell | Verb | обитать | B2  
Eager | Adjective | нетерпеливый | B2  
Ease | Verb / Noun | легкость / облегчать | B2  
Echo | Verb / Noun | эхо / отражать | B2  
Eliminate | Verb | устранять | B2  
Embarrass | Verb | смущать | B2  
Emerge | Verb | появляться | B2  
Emphasize | Verb | подчеркивать | B2  
Employ | Verb | нанимать | B2  
Enable | Verb | давать возможность | B2  
Encounter | Verb / Noun | сталкиваться / встреча | B2  
Endure | Verb | терпеть | B2  
Enforce | Verb | применять (закон) | B2  
Engage | Verb | вовлекать | B2  
Enhance | Verb | улучшать | B2  
Enormous | Adjective | огромный | B2  
Enquire | Verb | спрашивать | B2  
Ensure | Verb | обеспечивать | B2  
Entire | Adjective | целый | B2  
Escape | Verb / Noun | убегать / побег | B2  
Essential | Adjective | существенный | B2  
Establish | Verb | устанавливать | B2  
Estimate | Verb / Noun | оценивать / оценка | B2  
Evaluate | Verb | оценивать | B2  
Evident | Adjective | очевидный | B2  
Exaggerate | Verb | преувеличивать | B2  
Examine | Verb | исследовать | B2  
Exceed | Verb | превышать | B2  
Exchange | Verb / Noun | обменивать / обмен | B2  
Exclude | Verb | исключать | B2  
Execute | Verb | выполнять | B2  
Exhaust | Verb | истощать | B2  
Expand | Verb | расширять | B2  
Expect | Verb | ожидать | B2  
Expire | Verb | истекать (о сроке) | B2  
Explode | Verb | взрываться | B2  
Exploit | Verb | эксплуатировать | B2  
Explore | Verb | исследовать | B2  
Expose | Verb | разоблачать | B2  
Extend | Verb | продлевать | B2  
Extent | Noun | степень | B2  
Extract | Verb | извлекать | B2  
Fade | Verb | блекнуть | B2  
Fail | Verb | терпеть неудачу | B2  
Faint | Adjective / Verb | слабый / падать в обморок | B2  
Faith | Noun | вера | B2  
Fancy | Adjective / Verb | причудливый / желать | B2  
Fare | Noun | плата за проезд | B2  
Fascinate | Verb | очаровывать | B2  
Fault | Noun | вина | B2  
Fear | Verb / Noun | страх / бояться | B2  
Feature | Verb / Noun | особенность / показывать | B2  
Feeble | Adjective | слабый | B2  
Feed | Verb | кормить | B2  
Fierce | Adjective | свирепый | B2  
File | Verb / Noun | файл / подавать документы | B2  
Flatter | Verb | льстить | B2  
Flaw | Noun | недостаток | B2  
Flee | Verb | убегать | B2  
Flexible | Adjective | гибкий | B2  
Float | Verb | плавать | B2  
Flourish | Verb | процветать | B2  
Fold | Verb | складывать | B2  
Forbid | Verb | запрещать | B2  
Force | Verb / Noun | сила / принуждать | B2  
Foresee | Verb | предвидеть | B2  
Forgive | Verb | прощать | B2  
Formal | Adjective | формальный | B2  
Former | Adjective | бывший | B2  
Fortunate | Adjective | удачливый | B2  
Foster | Verb | способствовать | B2  
Frame | Verb / Noun | рамка / формулировать | B2  
Frequent | Adjective | частый | B2  
Frighten | Verb | пугать | B2  
Frown | Verb | хмуриться | B2  
Frustrate | Verb | расстраивать | B2  
Fulfill | Verb | выполнять | B2  
Fund | Verb / Noun | фонд / финансировать | B2  
Furious | Adjective | разъяренный | B2  
Furnish | Verb | обставлять | B2  
Gain | Verb / Noun | получать / прибыль | B2  
Gather | Verb | собирать | B2  
Generate | Verb | генерировать | B2  
Generous | Adjective | щедрый | B2  
Glance | Verb / Noun | взглянуть / взгляд | B2  
Glimpse | Verb / Noun | мельком увидеть / проблеск | B2  
Glory | Noun | слава | B2  
Glow | Verb / Noun | светиться / свечение | B2  
Grasp | Verb | схватывать | B2  
